ASOLO	AVENGERS SOLO	2011-2012
ASPOT	AVENGERS SPOTLIGHT	1989-1991
ASS	AMAZING SCARLET SPIDER	1995
AST	ASTONISHING	1951-1957
ASTONSM&W	ASTONISHING SPIDER-MAN & WOLVERINE	2010-2011
ASTONT	ASTONISHING THOR	2011
ASTONX	ASTONISHING X-MEN	1995
ASTONX2	ASTONISHING X-MEN VOL. 2	1999
ASTONX3	ASTONISHING X-MEN VOL. 3	2004-2013
ASTONX:X	ASTONISHING X-MEN: XENOGENESIS	2010-2011
ASTRIKE	AVENGERS STRIKE FILE	1994
AT	ASTONISHING TALES	1970-1976
AT2	ASTONISHING TALES VOL. 2	2009
AT:WMB	AVENGERS TWO: WONDER MAN & BEAST	2000
ATLAS	AGENTS OF ATLAS	2006-2007
ATLAS2	AGENTS OF ATLAS VOL. 2	2009
AUP	AVENGERS UNPLUGGED	1995-1996
AVENGSM	AVENGING SPIDER-MAN	2012-2013
AVF	AVENGERS FOREVER	1998-2000
AVN	AVENGERS NEXT	2007
AVSATLAS	AVENGERS VS. ATLAS	2010
AVX	AVENGERS VS. X-MEN	2012
AVX:C	AVX: CONSEQUENCES	2012-2013
AVXVS	AVX VS.	2012
AWC	AVENGERS WEST COAST	1989-1994
AWS:BH	ALL-WINNERS SQUAD: BAND OF HEROES	2011
B&B	BEAUTY & BEAST	1984-1985
B-S	B-SIDES	2002-2003
BALLISTIC/W	BALLISTIC/WOLVERINE	1997
BAXE	BLACK AXE	1993
BCAT	BLACK CAT	1994
BEAST	BEAST	1997
BEASTS	BEASTS	2001
BEST OF MARVEL COMICS	BEST OF MARVEL COMICS	1987
BEYOND	BEYOND!	2006-2007
BFDPOOLB	BABY'S FIRST DEADPOOL BOOK	1998
BFF:BGL	BEFORE THE FANTASTIC FOUR: BEN GRIMM & LOGAN	2000
BFF:RR	BEFORE THE FANTASTIC FOUR: REED RICHARDS	2000
BFF:S	BEFORE THE FANTASTIC FOUR: STORMS	2000-2001
BG	BLACK GOLIATH	1976
BHOOD	BROTHERHOOD	2001-2002
BHS	BIG HERO 6	2008-2009
BICM/W	BREAKING INTO COMICS THE MARVEL WAY	2010
BIZADV	BIZARRE ADVENTURES (MAGAZINE)	1981-1983
BK	BLACK KNIGHT	1955-1956
BK2	BLACK KNIGHT VOL. 2	1990
BK:E	BLACK KNIGHT: EXODUS	1996
BLACKSTONE	BLACKSTONE THE MAGICIAN	1948
BLADE	BLADE (VAMPIRE-HUNTER)	1994-1995
BLADE3	BLADE VOL. 3 (CRESCENT CITY BLUES)	1998
BLADE5	BLADE VOL. 5 (STRANGE TALES IMPRINT)	1998-1999
BLADE6	BLADE VOL. 6 (VAMPIRE HUNTER)	1999-2000
BLADE7	BLADE VOL. 7 (MAX IMPRINT)	2002
BLADE8	BLADE VOL. 8	2006-2007
BLAZE	BLAZE	1994-1995
BLAZE:LOB	BLAZE: LEGACY OF BLOOD	1993-1994
BLDR	BALDER	1985-1986
BLINK	BLINK	2001
BLONDE PHANTOM	BLONDE PHANTOM	1947-1949
BLOODSEED	BLOODSEED	1993
BLOODSTONE	BLOODSTONE	2001-2002
BOD	BOOKS OF DOOM	2006
BOG	BLAZE OF GLORY	2000
BP	BLACK PANTHER	1977-1979
BP2	BLACK PANTHER VOL. 2	1988
BP3	BLACK PANTHER VOL. 3	1998-2003
BP4	BLACK PANTHER VOL. 4	2005-2008
BP5	BLACK PANTHER VOL. 5	2009-2010
BP6	BLACK PANTHER VOL. 6 (MAN WITHOUT FEAR)	2011
BP:PP	BLACK PANTHER: PANTHER'S PREY	1990-1991
BPENBITS	BULLPEN BITS	
BRB:GH	BETA RAY BILL: GODHUNTER	2009
BROOD	X-MEN VS. BROOD: DAY OF WRATH	1996
BS:X	BLACK SUN: X-MEN	2000
BSCARS	BATTLE SCARS	2012
BSEP &infin;	BLACK SEPTEMBER &infin;	1995
BSHP	BISHOP	1994-1995
BSHP2	BISHOP VOL. 2	1999-2001
BT	BATTLETIDE	1992-1993
BT2	BATTLETIDE VOL. 2	1993
BTHRU	BREAK-THRU	1993-1994
BUG	BUG	1997
BULL:GH	BULLSEYE: GREATEST HITS	2004-2005
BULL:PG	BULLSEYE: PERFECT GAME	2010-2011
BUZZ	BUZZ	2000
BW	BLACK WIDOW	1999
BW2	BLACK WIDOW VOL. 2	2001
BW3	BLACK WIDOW VOL. 3 (PALE LITTLE SPIDER)	2002
BW4	BLACK WIDOW VOL. 4	2004-2005
BW5	BLACK WIDOW VOL. 5	2005-2006
BW6	BLACK WIDOW VOL. 6	2010-2011
BW7	BLACK WIDOW VOL. 7	2014
